Vehicle_ID,Car_Model,Battery_Capacity_kWh,Vehicle_Age_Months,Battery Age Years,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
c66eb392,Tesla Model 3,75,38,3.17,541,23.2,0.16,1.01,Moderate,0.0299,96.05,Healthy
8aa345e3,Tesla Model 3,75,53,4.42,717,25.4,0.9,1.01,Conservative,0.0441,91.91,Healthy
73460aa8,Tesla Model 3,75,8,0.67,40,31,0.02,0.75,Conservative,0.0249,99.04,Healthy
45c2ee19,Ford Mustang Mach-E,88,74,6.17,1100,13.1,0.86,1.13,Moderate,0.0603,86.93,Healthy
6ae69b3f,Wuling Air EV,26,78,6.50,848,25.1,0.71,0.58,Aggressive,0.0329,93.44,Healthy
9c7966d6,Wuling Air EV,26,41,3.42,438,32.5,0.59,1.35,Moderate,0.0284,96.11,Healthy
fa6b23e4,Tesla Model 3,75,88,7.33,714,27.8,0.5,2.45,Moderate,0.0412,93.23,Healthy
8a0a7193,Hyundai Ioniq 5,72.6,50,4.17,360,16.6,0.82,0.62,Aggressive,0.0318,95.68,Healthy
427987a4,Wuling Air EV,26,4,0.33,28,26.7,0.33,1.95,Moderate,0.0218,99.29,Healthy
bce65ad7,Tesla Model 3,75,39,3.25,485,33.7,0.32,2.31,Aggressive,0.04,93.04,Healthy
8cab99f9,Ford Mustang Mach-E,88,44,3.67,271,22.8,0.06,2.49,Conservative,0.0283,97.81,Healthy
cab1dbfb,BYD Atto 3,60,80,6.67,427,30.3,0.04,1.55,Moderate,0.0252,98.31,Healthy
3c94e970,Ford Mustang Mach-E,88,83,6.92,1220,19.9,0.3,1.35,Aggressive,0.0596,86.92,Healthy
e5c869b6,BYD Atto 3,60,46,3.83,394,36.4,0.38,2.05,Conservative,0.0266,97.32,Healthy
2169596a,BYD Atto 3,60,17,1.42,102,33.2,0.03,1.93,Aggressive,0.0244,98.4,Healthy
dad3c3ab,Ford Mustang Mach-E,88,88,7.33,889,17.9,0.89,2.07,Aggressive,0.0572,87.45,Healthy
da536ca8,BYD Atto 3,60,3,0.25,12,23.7,0.54,1.34,Conservative,0.0209,98.9,Healthy
15664586,Hyundai Ioniq 5,72.6,18,1.50,258,44.6,0.59,2.18,Moderate,0.0318,95.95,Healthy
b6b73d06,Ford Mustang Mach-E,88,5,0.42,55,39,0.96,1.53,Aggressive,0.0221,98.71,Healthy
63967475,Hyundai Ioniq 5,72.6,44,3.67,482,24.6,0.75,1.13,Moderate,0.0352,94.57,Healthy
c45bafc9,Tesla Model 3,75,81,6.75,1195,22.3,0.47,2.44,Moderate,0.054,88.58,Healthy
e0da6660,Ford Mustang Mach-E,88,20,1.67,283,27.7,0.91,1.3,Conservative,0.0266,97.61,Healthy
67c951cc,Hyundai Ioniq 5,72.6,30,2.50,305,25.9,0.28,2.22,Aggressive,0.0284,97.02,Healthy
24f64b17,Hyundai Ioniq 5,72.6,46,3.83,416,12,0.46,2.12,Moderate,0.0326,95.82,Healthy
2b2e6637,Ford Mustang Mach-E,88,40,3.33,242,35.1,0.63,0.81,Conservative,0.026,97.77,Healthy
f94c58f1,Tesla Model 3,75,46,3.83,595,25.4,0.84,1.9,Aggressive,0.0429,91.95,Healthy
777e859d,Tesla Model 3,75,82,6.83,483,26.9,0.3,1.59,Moderate,0.0352,95.02,Healthy
134e484d,Hyundai Ioniq 5,72.6,18,1.50,213,9.2,0.1,2.31,Aggressive,0.0277,97.87,Healthy
5c46b172,Ford Mustang Mach-E,88,28,2.33,373,28.9,0.7,1.11,Aggressive,0.0356,94.84,Healthy
df92ec73,Tesla Model 3,75,51,4.25,417,19.4,0.96,1.53,Moderate,0.0364,94.68,Healthy
b2fe910d,BYD Atto 3,60,66,5.50,340,28.4,0.14,1.28,Moderate,0.0235,98.98,Healthy
4e7f58bd,Ford Mustang Mach-E,88,34,2.83,252,20.3,0.74,1.82,Aggressive,0.0306,95.94,Healthy
096b55a7,BYD Atto 3,60,21,1.75,291,19.9,0.3,1.07,Moderate,0.0249,98.51,Healthy
858d9cd1,BYD Atto 3,60,50,4.17,303,39.6,0.75,0.52,Conservative,0.0253,97.65,Healthy
30a1510c,Ford Mustang Mach-E,88,83,6.92,770,35.5,0.42,2.12,Moderate,0.0481,91.08,Healthy
ad7db5b9,Ford Mustang Mach-E,88,22,1.83,262,26.1,0.03,1.13,Conservative,0.0261,98.39,Healthy
1f76bd1e,BYD Atto 3,60,21,1.75,90,31.6,0.12,1.84,Moderate,0.0219,98.97,Healthy
8b334fd6,Tesla Model 3,75,48,4.00,225,42.8,0.3,1.56,Aggressive,0.032,95.95,Healthy
90d4415e,Ford Mustang Mach-E,88,79,6.58,531,37.6,0.11,1.15,Aggressive,0.0422,92.34,Healthy
d69732a3,Tesla Model 3,75,94,7.83,451,13.1,0.26,1.1,Conservative,0.0326,95.42,Healthy
0b8e0453,Tesla Model 3,75,45,3.75,414,13.3,0.5,1.61,Conservative,0.0325,95.99,Healthy
1230817a,BYD Atto 3,60,46,3.83,529,29.4,0.46,1.67,Moderate,0.0258,96.7,Healthy
a8fede7a,Tesla Model 3,75,9,0.75,113,44,0.09,1.49,Conservative,0.0267,98.35,Healthy
54079ed0,Hyundai Ioniq 5,72.6,34,2.83,417,29.8,0.23,1.15,Aggressive,0.0318,95.69,Healthy
7595444b,Ford Mustang Mach-E,88,72,6.00,550,11.3,0.91,1.95,Moderate,0.0358,94.23,Healthy
69976b14,Wuling Air EV,26,52,4.33,387,29.8,0.2,1.43,Moderate,0.0238,98.3,Healthy
ed292c66,Hyundai Ioniq 5,72.6,45,3.75,382,26.9,0.8,1.26,Conservative,0.0335,95.4,Healthy
8cb8d50b,BYD Atto 3,60,57,4.75,693,38.2,0.66,0.76,Aggressive,0.0333,93.1,Healthy
1d576ef5,Hyundai Ioniq 5,72.6,43,3.58,567,29,0.32,2.18,Conservative,0.0338,95.36,Healthy
3fbbaeb5,Wuling Air EV,26,34,2.83,190,23.7,0.63,0.97,Aggressive,0.0243,98.15,Healthy
19ca5b4f,BYD Atto 3,60,72,6.00,899,26.4,0.27,1.65,Moderate,0.0329,94.9,Healthy
c586e3a8,Wuling Air EV,26,52,4.33,220,30.5,0.72,1.85,Moderate,0.0213,99.12,Healthy
bbbe4c32,Hyundai Ioniq 5,72.6,13,1.08,149,23.1,0.92,2.32,Moderate,0.0281,97.19,Healthy
79ea8096,Ford Mustang Mach-E,88,67,5.58,422,38,0.35,1.16,Aggressive,0.0393,93.86,Healthy
29cad3ee,Wuling Air EV,26,93,7.75,548,28.6,0.27,1.9,Moderate,0.027,96.87,Healthy
d92dfbf2,BYD Atto 3,60,43,3.58,445,17.2,0.61,2.17,Conservative,0.0242,97.43,Healthy
aae2ef75,Wuling Air EV,26,62,5.17,479,35,0.04,0.94,Moderate,0.0257,97.29,Healthy
fc0829c7,Tesla Model 3,75,85,7.08,1136,32.3,0.27,0.54,Aggressive,0.0604,86.6,Healthy
c9f4cd28,BYD Atto 3,60,59,4.92,570,12.6,0.62,1.24,Moderate,0.027,96.7,Healthy
b598cbf8,Ford Mustang Mach-E,88,89,7.42,539,26.2,0.77,2.47,Moderate,0.0387,93.79,Healthy
93f89c90,BYD Atto 3,60,43,3.58,631,30.1,0.94,0.91,Conservative,0.03,95.08,Healthy
082fae8d,BYD Atto 3,60,91,7.58,673,33.9,0.57,1.92,Moderate,0.029,95.37,Healthy
878bf9df,Ford Mustang Mach-E,88,72,6.00,393,6.5,0.03,2.38,Moderate,0.0278,96.8,Healthy
8a69c122,Tesla Model 3,75,24,2.00,241,19.9,0.51,0.96,Moderate,0.0311,96.69,Healthy
fa837b96,Wuling Air EV,26,85,7.08,959,19.2,0.34,1.14,Moderate,0.0301,94.72,Healthy
4f02542e,Wuling Air EV,26,33,2.75,309,37.6,0.33,1,Moderate,0.0231,98.08,Healthy
e982710c,Wuling Air EV,26,18,1.50,76,13.5,0.81,1.01,Conservative,0.0218,99.68,Healthy
f5245e92,Wuling Air EV,26,26,2.17,209,27.1,0.51,1.96,Moderate,0.0226,98.53,Healthy
0d59f255,Hyundai Ioniq 5,72.6,28,2.33,291,31.9,0.81,2.23,Aggressive,0.0311,96.33,Healthy
46300e8a,Ford Mustang Mach-E,88,88,7.33,867,20.6,0.86,2.46,Conservative,0.0484,90.45,Healthy
7001e9bf,Ford Mustang Mach-E,88,12,1.00,160,22.2,0.97,1.69,Conservative,0.0245,98.35,Healthy
0a7abd3b,Wuling Air EV,26,41,3.42,461,35.9,0.36,0.66,Conservative,0.0249,97.29,Healthy
2276d44e,Ford Mustang Mach-E,88,23,1.92,284,29.3,0.96,2.42,Moderate,0.0322,95.5,Healthy
2fbe3e08,Ford Mustang Mach-E,88,67,5.58,907,25.7,0.63,2.35,Aggressive,0.0513,89.6,Healthy
0ba58916,BYD Atto 3,60,4,0.33,36,32.7,0.21,1.52,Aggressive,0.0205,99.59,Healthy
440938bb,Ford Mustang Mach-E,88,17,1.42,164,24.7,0.79,1.04,Moderate,0.0241,98.07,Healthy
07dca590,Wuling Air EV,26,18,1.50,182,36.1,0.84,1.15,Aggressive,0.0244,97.46,Healthy
518b2515,Wuling Air EV,26,69,5.75,742,23.9,0.54,0.8,Moderate,0.0295,95.96,Healthy
02e78221,Ford Mustang Mach-E,88,91,7.58,1344,20.1,0.73,0.76,Moderate,0.0667,85.18,Healthy
8b21c166,Ford Mustang Mach-E,88,8,0.67,102,31.6,0.87,1.06,Aggressive,0.025,98.36,Healthy
561d8101,Hyundai Ioniq 5,72.6,23,1.92,127,31.5,0.96,1.89,Moderate,0.0263,97.8,Healthy
15695930,BYD Atto 3,60,59,4.92,345,14.1,0.69,2,Moderate,0.0266,97.05,Healthy
d5f419b5,BYD Atto 3,60,53,4.42,585,17.4,0.49,1.59,Conservative,0.0276,96.34,Healthy
95fa92fd,Tesla Model 3,75,39,3.25,250,27.2,0.36,1.59,Moderate,0.0276,98.07,Healthy
f6c684b3,Wuling Air EV,26,88,7.33,1075,15.5,0.16,1.15,Moderate,0.0307,94.64,Healthy
f0bf5cfc,Ford Mustang Mach-E,88,6,0.50,55,24.2,0.06,1.21,Moderate,0.0241,98.56,Healthy
b18a4491,Hyundai Ioniq 5,72.6,43,3.58,529,17.6,0.16,0.88,Moderate,0.0332,95.06,Healthy
36371c17,Tesla Model 3,75,55,4.58,621,23.8,0.2,2.18,Conservative,0.036,94.28,Healthy
9fa24fc4,BYD Atto 3,60,29,2.42,327,37.6,0.49,1.24,Conservative,0.0255,97.33,Healthy
baf62ff4,Ford Mustang Mach-E,88,55,4.58,656,23.2,0.46,1.23,Conservative,0.0371,94.09,Healthy
f7361343,BYD Atto 3,60,40,3.33,436,22,0.44,2.4,Moderate,0.0273,96.19,Healthy
86d2bc95,Ford Mustang Mach-E,88,62,5.17,310,22,0.9,1.98,Moderate,0.0309,96.82,Healthy
05b65bff,Tesla Model 3,75,11,0.92,86,26.1,0.68,1.88,Conservative,0.0196,99.54,Healthy
d9a40d73,Tesla Model 3,75,23,1.92,143,9,0.43,2.3,Conservative,0.0246,97.7,Healthy
9ea347f5,Wuling Air EV,26,4,0.33,40,32.5,0.14,2.29,Aggressive,0.0206,100,Healthy
b3886559,Hyundai Ioniq 5,72.6,37,3.08,448,42.2,0.4,1.45,Moderate,0.043,92.02,Healthy
8299c2b0,Wuling Air EV,26,35,2.92,463,30.6,0.49,0.78,Moderate,0.0251,97.7,Healthy
110e68ff,BYD Atto 3,60,72,6.00,464,34,0.36,1.25,Moderate,0.0268,97.57,Healthy
297595c7,Ford Mustang Mach-E,88,7,0.58,99,33,0.67,1.15,Conservative,0.021,99.53,Healthy
883a655e,Hyundai Ioniq 5,72.6,88,7.33,428,19.2,0.47,1.59,Conservative,0.034,95.18,Healthy
5810a0f5,Ford Mustang Mach-E,88,68,5.67,979,21.2,0.81,1.09,Conservative,0.0493,90.2,Healthy
696d6743,Tesla Model 3,75,76,6.33,339,22,0.53,1.4,Aggressive,0.0318,96.25,Healthy
9ff8b6b4,Tesla Model 3,75,50,4.17,639,46.8,0.8,2.42,Moderate,0.0617,86.13,Healthy
e7a75447,Ford Mustang Mach-E,88,62,5.17,616,21.5,0.15,1.14,Moderate,0.0359,94.78,Healthy
2a71bc9f,Tesla Model 3,75,14,1.17,116,17.8,0.17,2.22,Moderate,0.0196,99.92,Healthy
991f4524,Tesla Model 3,75,6,0.50,73,16.5,0.07,1.7,Moderate,0.023,98.83,Healthy
19651eae,Tesla Model 3,75,94,7.83,1372,35.2,0.91,1.93,Moderate,0.0755,81.43,Healthy
4b921502,Hyundai Ioniq 5,72.6,61,5.08,406,33.7,0.72,1.44,Aggressive,0.036,94.87,Healthy
770451a3,BYD Atto 3,60,52,4.33,344,21.7,0.86,1.13,Conservative,0.0245,97.59,Healthy
72042c97,Tesla Model 3,75,63,5.25,424,37.7,0.18,0.88,Moderate,0.0354,95,Healthy
6acf6f75,Tesla Model 3,75,76,6.33,702,36,0.38,1.56,Moderate,0.045,92.03,Healthy
242d0fa9,Wuling Air EV,26,28,2.33,230,39.3,0.03,1.43,Moderate,0.0242,98.65,Healthy
cc73d873,BYD Atto 3,60,38,3.17,252,20,0.52,1.03,Moderate,0.0276,96.99,Healthy
f4468fd6,Wuling Air EV,26,95,7.92,986,30.5,0.35,2.24,Moderate,0.0335,93.88,Healthy
c831af1b,BYD Atto 3,60,68,5.67,363,31.6,0.37,0.93,Moderate,0.0244,97.24,Healthy
ed61201e,Tesla Model 3,75,71,5.92,416,11.4,0.41,0.72,Conservative,0.0279,97.09,Healthy
ee316742,Tesla Model 3,75,54,4.50,454,16.5,0.01,0.89,Aggressive,0.0338,95.68,Healthy
03129b1a,Hyundai Ioniq 5,72.6,22,1.83,214,15.9,0.91,0.67,Moderate,0.0271,97.55,Healthy
9c11f5ef,BYD Atto 3,60,5,0.42,32,26.3,0.84,2.11,Conservative,0.021,100,Healthy
0417369c,Ford Mustang Mach-E,88,15,1.25,208,21.8,0.55,0.57,Aggressive,0.0246,97.76,Healthy
a6ef6da8,Wuling Air EV,26,66,5.50,721,30.6,0.03,2.36,Conservative,0.0261,96.6,Healthy
8c15a162,BYD Atto 3,60,84,7.00,937,22.2,0.48,1.08,Moderate,0.0283,94.76,Healthy
022e2696,BYD Atto 3,60,84,7.00,396,24.1,0.2,1.07,Aggressive,0.0247,97.32,Healthy
979b6981,Tesla Model 3,75,61,5.08,864,28.5,0.07,1.9,Aggressive,0.0446,91.18,Healthy
57eaf476,Ford Mustang Mach-E,88,22,1.83,220,22.5,0.52,1.58,Conservative,0.0269,97.68,Healthy
e2c406b7,Wuling Air EV,26,7,0.58,69,24.2,0.23,1.29,Moderate,0.0196,99.64,Healthy
3d33410e,Tesla Model 3,75,32,2.67,139,34.8,0.41,1.61,Moderate,0.0239,98.68,Healthy
98117df8,Wuling Air EV,26,87,7.25,943,24.9,0.17,0.83,Moderate,0.0323,94.26,Healthy
e3f6158a,BYD Atto 3,60,65,5.42,800,26.9,0.4,2.47,Conservative,0.0279,95.69,Healthy
1c5d26ef,BYD Atto 3,60,60,5.00,300,31.8,0.34,2,Moderate,0.0222,98.88,Healthy
8e21e54d,BYD Atto 3,60,73,6.08,984,19.1,0.78,2.15,Conservative,0.0319,94.09,Healthy
f8db3d4b,Wuling Air EV,26,89,7.42,501,15.4,0.8,0.85,Conservative,0.0279,96.41,Healthy
af5b282f,Ford Mustang Mach-E,88,15,1.25,82,21.2,0.81,0.68,Aggressive,0.0226,98.8,Healthy
3bf219b2,Wuling Air EV,26,81,6.75,696,32.1,0.57,1.52,Aggressive,0.0321,94.54,Healthy
c8e90e77,Hyundai Ioniq 5,72.6,11,0.92,133,41.4,0.59,1.8,Moderate,0.025,98.36,Healthy
a256fb85,BYD Atto 3,60,15,1.25,122,14.7,0.24,1.11,Conservative,0.023,98.97,Healthy
5a3abef3,Ford Mustang Mach-E,88,88,7.33,1314,20.5,0.18,1.99,Conservative,0.0524,89.53,Healthy
001f6ebb,Tesla Model 3,75,4,0.33,31,19.7,0.74,1.93,Moderate,0.02,100,Healthy
1c58080a,Ford Mustang Mach-E,88,13,1.08,86,29,0.47,2.38,Moderate,0.0245,98.81,Healthy
1f86b204,Ford Mustang Mach-E,88,65,5.42,926,32.2,0.48,0.64,Conservative,0.0477,91.16,Healthy
fbfafff2,Tesla Model 3,75,79,6.58,774,30.5,0.15,2.38,Conservative,0.0389,93.82,Healthy
21520e38,Tesla Model 3,75,57,4.75,609,24.3,0.95,1.26,Moderate,0.045,92.1,Healthy
209fc102,Tesla Model 3,75,57,4.75,596,23.3,0.1,2.16,Moderate,0.0366,94.79,Healthy
7be16934,Wuling Air EV,26,9,0.75,119,37.4,0.95,1.38,Moderate,0.0221,98.45,Healthy
fc2a8bd1,Wuling Air EV,26,94,7.83,1348,26.2,0.3,1.39,Conservative,0.035,92.46,Healthy
b599187a,Ford Mustang Mach-E,88,53,4.42,485,30.1,0.86,2.14,Aggressive,0.0413,93.01,Healthy
725bfd0f,Tesla Model 3,75,79,6.58,792,26.2,0.2,2.48,Moderate,0.0392,93.53,Healthy
8834ad1d,Hyundai Ioniq 5,72.6,92,7.67,1358,14.8,1,0.95,Moderate,0.0721,83.17,Healthy
11bca86b,Hyundai Ioniq 5,72.6,22,1.83,281,22.3,0.23,0.76,Moderate,0.0273,97.18,Healthy
2988315d,Hyundai Ioniq 5,72.6,83,6.92,821,39.2,0.21,1.6,Aggressive,0.0551,87.75,Healthy
9f5b3539,Ford Mustang Mach-E,88,69,5.75,1012,34.8,0.69,1.2,Aggressive,0.0658,84.69,Healthy
8fc4d0ab,Wuling Air EV,26,32,2.67,189,21.8,0.3,1.97,Conservative,0.0217,98.45,Healthy
7dc64632,BYD Atto 3,60,39,3.25,228,28.4,0.43,1.66,Aggressive,0.0259,98.04,Healthy
aaf89fec,Wuling Air EV,26,49,4.08,539,19.9,0.68,1.72,Moderate,0.0247,97.46,Healthy
064a01b4,Tesla Model 3,75,77,6.42,743,26,0.56,2.17,Conservative,0.0382,93.39,Healthy
3eae86b5,BYD Atto 3,60,89,7.42,972,24.1,0.53,2.16,Moderate,0.0328,93.17,Healthy
7f3611e7,Ford Mustang Mach-E,88,37,3.08,474,23.5,0.83,1.73,Moderate,0.0361,94.65,Healthy
67706f19,Hyundai Ioniq 5,72.6,45,3.75,551,30.4,0.53,0.53,Moderate,0.0365,94.72,Healthy
a5f581b9,Ford Mustang Mach-E,88,55,4.58,454,13.7,0.89,1.23,Moderate,0.0318,95.93,Healthy
2f5a519e,BYD Atto 3,60,72,6.00,751,23.7,0.36,1.99,Conservative,0.0274,95.88,Healthy
ad323705,Tesla Model 3,75,14,1.17,92,37.7,0.17,1.74,Aggressive,0.0218,99.05,Healthy
935a2bab,Wuling Air EV,26,21,1.75,184,20.3,0.19,0.56,Moderate,0.0196,99.63,Healthy
27af5be0,Tesla Model 3,75,13,1.08,68,11.8,0.4,1.41,Conservative,0.0206,99.78,Healthy
23d97cb9,Hyundai Ioniq 5,72.6,82,6.83,793,37.1,0.88,0.7,Moderate,0.052,88.61,Healthy
2cb1eccc,BYD Atto 3,60,42,3.50,311,34,0,2.28,Moderate,0.023,98.49,Healthy
fd90ca7a,Hyundai Ioniq 5,72.6,85,7.08,480,40.5,0.63,0.7,Conservative,0.0384,94,Healthy
19717747,Tesla Model 3,75,25,2.08,340,42,0.55,1.47,Moderate,0.0329,95.62,Healthy
6d06c200,Ford Mustang Mach-E,88,24,2.00,128,18.6,0.35,0.8,Moderate,0.0219,99.37,Healthy
f501e641,Wuling Air EV,26,13,1.08,183,19.7,0.55,2.46,Moderate,0.0225,98.77,Healthy
6f725e69,BYD Atto 3,60,12,1.00,50,20.7,0.46,2.25,Aggressive,0.0218,99.52,Healthy
ba04b9ae,Tesla Model 3,75,57,4.75,540,32.3,0.45,1.2,Aggressive,0.039,92.93,Healthy
c25f3f19,Tesla Model 3,75,7,0.58,59,26.4,0.43,0.64,Aggressive,0.0205,100,Healthy
afed657f,Ford Mustang Mach-E,88,68,5.67,457,25.2,0.11,2.4,Conservative,0.0311,96.64,Healthy
5c98acf6,Tesla Model 3,75,19,1.58,201,38.3,0.79,1.02,Moderate,0.0296,96.94,Healthy
fbe7d99d,Wuling Air EV,26,14,1.17,163,29.1,0.36,2,Moderate,0.0223,99.03,Healthy
7945e178,Wuling Air EV,26,82,6.83,402,41.7,0.77,1.03,Moderate,0.027,95.88,Healthy
7d647031,Wuling Air EV,26,79,6.58,1069,14.6,0.31,1.98,Conservative,0.0295,94.96,Healthy
16de19af,Ford Mustang Mach-E,88,68,5.67,407,25.7,0.42,0.57,Moderate,0.0317,95.84,Healthy
ca1e9638,Ford Mustang Mach-E,88,33,2.75,323,31,0.29,1.98,Moderate,0.0283,97.55,Healthy
6fe0b229,Hyundai Ioniq 5,72.6,27,2.25,318,31,0.77,1.68,Moderate,0.0302,96.23,Healthy
1b658e8a,BYD Atto 3,60,46,3.83,596,25.9,0.31,1.03,Moderate,0.0259,96.6,Healthy
